account_id,last_metric_time,like_per_month,newfriend_per_month,post_per_month,adview_feed_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure
0,2020-05-10,65.0,13.0,62.0,65.0,9.0,0.0,3.0,1.0,116.0
1,2020-05-10,171.0,4.0,16.0,50.0,7.0,0.0,4.0,0.0,128.0
2,2020-05-10,70.0,0.0,3.0,5.0,4.0,0.0,25.0,11.0,105.0
4,2020-05-10,67.0,8.0,24.0,8.0,11.0,1.0,4.0,0.0,101.0
5,2020-05-10,113.0,5.0,30.0,14.0,16.0,0.0,35.0,11.0,125.0
6,2020-05-10,5.0,2.0,16.0,13.0,1.0,0.0,9.0,2.0,108.0
8,2020-05-10,5.0,1.0,5.0,4.0,11.0,0.0,25.0,1.0,119.0
10,2020-05-10,60.0,2.0,6.0,10.0,22.0,0.0,120.0,74.0,242.0
11,2020-05-10,50.0,3.0,18.0,17.0,11.0,0.0,10.0,2.0,101.0
12,2020-05-10,12.0,1.0,5.0,3.0,1.0,1.0,261.0,93.0,112.0
13,2020-05-10,85.0,19.0,151.0,49.0,37.0,1.0,38.0,27.0,110.0
14,2020-05-10,18.0,7.0,6.0,34.0,2.0,0.0,5.0,3.0,126.0
15,2020-05-10,123.0,9.0,38.0,14.0,19.0,0.0,30.0,19.0,104.0
16,2020-05-10,193.0,5.0,38.0,14.0,2.0,0.0,39.0,3.0,117.0
17,2020-05-10,45.0,4.0,23.0,87.0,10.0,1.0,35.0,32.0,109.0
18,2020-05-10,2.0,0.0,8.0,1.0,1.0,0.0,43.0,23.0,123.0
20,2020-05-10,412.0,7.0,2.0,13.0,23.0,0.0,1195.0,501.0,116.0
21,2020-05-10,77.0,6.0,14.0,19.0,49.0,1.0,9.0,10.0,108.0
22,2020-05-10,42.0,6.0,13.0,13.0,7.0,0.0,3.0,2.0,117.0
23,2020-05-10,691.0,10.0,61.0,66.0,24.0,1.0,88.0,5.0,130.0
24,2020-05-10,7.0,5.0,1.0,1.0,6.0,0.0,13.0,10.0,125.0
25,2020-05-10,7.0,0.0,21.0,17.0,3.0,0.0,62.0,13.0,117.0
26,2020-05-10,634.0,32.0,70.0,62.0,60.0,0.0,6.0,4.0,242.0
27,2020-05-10,14.0,2.0,7.0,4.0,6.0,1.0,21.0,6.0,102.0
28,2020-05-10,711.0,22.0,92.0,198.0,52.0,0.0,7.0,1.0,125.0
29,2020-05-10,204.0,14.0,98.0,183.0,63.0,0.0,149.0,16.0,116.0
30,2020-05-10,35.0,2.0,21.0,27.0,5.0,0.0,3.0,0.0,115.0
31,2020-05-10,16.0,10.0,18.0,21.0,16.0,0.0,105.0,14.0,118.0
32,2020-05-10,301.0,3.0,52.0,39.0,12.0,0.0,8.0,2.0,104.0
33,2020-05-10,130.0,19.0,79.0,38.0,1.0,1.0,203.0,111.0,106.0
34,2020-05-10,9.0,5.0,7.0,6.0,0.0,2.0,897.0,231.0,102.0
35,2020-05-10,37.0,9.0,32.0,39.0,23.0,1.0,15.0,9.0,111.0
36,2020-05-10,18.0,1.0,21.0,28.0,6.0,1.0,37.0,5.0,100.0
38,2020-05-10,63.0,3.0,49.0,3.0,2.0,0.0,2.0,0.0,101.0
39,2020-05-10,620.0,4.0,30.0,36.0,72.0,0.0,275.0,100.0,117.0
40,2020-05-10,82.0,4.0,5.0,13.0,9.0,0.0,16.0,10.0,129.0
42,2020-05-10,14.0,2.0,1.0,1.0,6.0,1.0,79.0,22.0,109.0
44,2020-05-10,103.0,23.0,55.0,80.0,49.0,1.0,155.0,17.0,119.0
45,2020-05-10,13.0,2.0,3.0,0.0,4.0,1.0,16.0,8.0,118.0
46,2020-05-10,201.0,5.0,5.0,24.0,9.0,0.0,22.0,3.0,100.0
47,2020-05-10,10.0,6.0,3.0,3.0,9.0,1.0,3.0,0.0,104.0
49,2020-05-10,44.0,11.0,19.0,7.0,19.0,0.0,38.0,22.0,130.0
50,2020-05-10,9.0,2.0,1.0,14.0,2.0,0.0,64.0,35.0,118.0
51,2020-05-10,97.0,4.0,34.0,47.0,5.0,1.0,126.0,50.0,115.0
52,2020-05-10,399.0,22.0,22.0,174.0,14.0,0.0,251.0,97.0,123.0
53,2020-05-10,18.0,2.0,9.0,18.0,5.0,0.0,26.0,6.0,129.0
54,2020-05-10,15.0,1.0,5.0,0.0,8.0,1.0,31.0,14.0,125.0
