account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure,adview_per_post,reply_per_message,like_per_post,post_per_message,unfriend_per_newfriend,dislike_pcnt,unfriend_per_newfriend_scaled,newfriend_pcnt_chng,days_since_newfriend,unfriend_28day_avg_84day_obs,unfriend_28day_avg_84day_obs_scaled
5,2020-03-01,False,121.0,6.0,29.0,14.0,17.0,1.0,30.0,18.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-01,False,5.0,2.0,3.0,1.0,7.0,0.0,19.0,9.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-01,False,668.0,27.0,104.0,195.0,54.0,0.0,10.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-03-01,False,32.0,2.0,5.0,11.0,3.0,0.0,2.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-03-01,False,12.0,1.0,4.0,2.0,4.0,0.0,28.0,18.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-03-01,False,9.0,0.0,3.0,4.0,1.0,1.0,21.0,11.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2020-03-01,False,16.0,2.0,24.0,10.0,3.0,0.0,41.0,12.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2020-03-01,False,70.0,10.0,36.0,53.0,23.0,1.0,26.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,2020-03-01,False,2.0,3.0,12.0,17.0,25.0,1.0,30.0,22.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2020-03-01,False,10.0,3.0,10.0,32.0,6.0,0.0,20.0,7.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,2020-03-01,False,26.0,5.0,9.0,13.0,10.0,0.0,10.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2020-03-01,False,11.0,2.0,0.0,2.0,5.0,0.0,18.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,2020-03-01,False,108.0,9.0,102.0,103.0,15.0,0.0,3.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,2020-03-01,False,15.0,8.0,14.0,114.0,21.0,0.0,118.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,2020-03-01,False,14.0,3.0,0.0,3.0,2.0,1.0,52.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,2020-03-01,False,10.0,2.0,10.0,8.0,8.0,0.0,18.0,17.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,2020-03-01,False,38.0,7.0,18.0,15.0,22.0,1.0,94.0,29.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,2020-03-01,False,79.0,6.0,42.0,15.0,26.0,0.0,12.0,13.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,2020-03-01,True,3.0,1.0,8.0,7.0,20.0,1.0,49.0,16.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,2020-03-01,False,66.0,9.0,34.0,14.0,21.0,0.0,7.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,2020-03-01,False,105.0,2.0,10.0,16.0,9.0,1.0,5.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,2020-03-01,False,239.0,18.0,126.0,334.0,55.0,0.0,10.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,2020-03-01,False,64.0,3.0,22.0,36.0,17.0,0.0,2.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,2020-03-01,False,21.0,5.0,20.0,32.0,0.0,0.0,13.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,2020-03-01,False,138.0,4.0,20.0,15.0,12.0,0.0,121.0,83.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,2020-03-01,False,404.0,29.0,175.0,103.0,14.0,1.0,1.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,2020-03-01,False,22.0,3.0,9.0,4.0,4.0,0.0,14.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,2020-03-01,False,9.0,0.0,6.0,0.0,5.0,0.0,146.0,18.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,2020-03-01,False,460.0,15.0,68.0,115.0,58.0,3.0,108.0,12.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,2020-03-01,False,9.0,1.0,2.0,2.0,3.0,0.0,21.0,23.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,2020-03-01,False,51.0,2.0,82.0,76.0,29.0,0.0,31.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,2020-03-01,True,1.0,1.0,8.0,8.0,2.0,0.0,32.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,2020-03-01,False,86.0,10.0,14.0,102.0,25.0,0.0,42.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,2020-03-01,False,44.0,3.0,9.0,32.0,17.0,0.0,53.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
