event_date,n_event
2020-02-01,13919
2020-02-02,13695
2020-02-03,12492
2020-02-04,13094
2020-02-05,12756
2020-02-06,13133
2020-02-07,13985
2020-02-08,14342
2020-02-09,14460
2020-02-10,13282
2020-02-11,13374
2020-02-12,12894
2020-02-13,13229
2020-02-14,15065
2020-02-15,14544
2020-02-16,14769
2020-02-17,13414
2020-02-18,13186
2020-02-19,13437
2020-02-20,13468
2020-02-21,15155
2020-02-22,14956
2020-02-23,15405
2020-02-24,13678
2020-02-25,13499
2020-02-26,13688
2020-02-27,13701
2020-02-28,14952
2020-02-29,15546
2020-03-01,15313
2020-03-02,13513
2020-03-03,13893
2020-03-04,13758
2020-03-05,14353
2020-03-06,15682
2020-03-07,15643
2020-03-08,15015
2020-03-09,14033
2020-03-10,14123
2020-03-11,13323
2020-03-12,13578
2020-03-13,15580
2020-03-14,15701
2020-03-15,16067
2020-03-16,14181
2020-03-17,14000
2020-03-18,14319
2020-03-19,14631
2020-03-20,16314
2020-03-21,15609
2020-03-22,16057
2020-03-23,14281
2020-03-24,14459
2020-03-25,14078
2020-03-26,13709
2020-03-27,15771
2020-03-28,15682
2020-03-29,16317
2020-03-30,14405
2020-03-31,14546
2020-04-01,14958
2020-04-02,14673
2020-04-03,16380
2020-04-04,16125
2020-04-05,16676
2020-04-06,14534
2020-04-07,14699
2020-04-08,14565
2020-04-09,15113
2020-04-10,16790
2020-04-11,16825
2020-04-12,17385
2020-04-13,15191
2020-04-14,14955
2020-04-15,15502
2020-04-16,15524
2020-04-17,16792
2020-04-18,16756
2020-04-19,18052
2020-04-20,15007
2020-04-21,15426
2020-04-22,14865
2020-04-23,14768
2020-04-24,17047
2020-04-25,17163
2020-04-26,16763
2020-04-27,15357
2020-04-28,15678
2020-04-29,15970
2020-04-30,15700
2020-05-01,17530
2020-05-02,18277
2020-05-03,17134
2020-05-04,16253
2020-05-05,15761
2020-05-06,16020
2020-05-07,15921
2020-05-08,17848
2020-05-09,17710
2020-05-10,17813
2020-05-11,16055
2020-05-12,15898
2020-05-13,16065
2020-05-14,16078
2020-05-15,18964
2020-05-16,18332
2020-05-17,18210
2020-05-18,16257
2020-05-19,16350
2020-05-20,15931
2020-05-21,16459
2020-05-22,19095
2020-05-23,17736
2020-05-24,18608
2020-05-25,16403
2020-05-26,16654
2020-05-27,16414
2020-05-28,16717
2020-05-29,18362
2020-05-30,18877
2020-05-31,19024
2020-06-01,16753
