event_date,n_event
2020-02-01,34463
2020-02-02,34020
2020-02-03,29735
2020-02-04,31951
2020-02-05,29643
2020-02-06,31593
2020-02-07,35427
2020-02-08,36169
2020-02-09,36111
2020-02-10,32173
2020-02-11,32699
2020-02-12,31756
2020-02-13,31186
2020-02-14,37807
2020-02-15,35846
2020-02-16,36856
2020-02-17,32216
2020-02-18,31323
2020-02-19,31761
2020-02-20,32069
2020-02-21,37809
2020-02-22,37756
2020-02-23,38244
2020-02-24,32443
2020-02-25,32326
2020-02-26,33005
2020-02-27,32787
2020-02-28,37873
2020-02-29,39623
2020-03-01,38632
2020-03-02,31762
2020-03-03,34038
2020-03-04,33314
2020-03-05,35036
2020-03-06,38846
2020-03-07,39783
2020-03-08,38042
2020-03-09,33344
2020-03-10,33911
2020-03-11,32449
2020-03-12,32131
2020-03-13,39207
2020-03-14,39348
2020-03-15,39974
2020-03-16,34167
2020-03-17,34004
2020-03-18,34358
2020-03-19,35222
2020-03-20,41029
2020-03-21,39978
2020-03-22,40540
2020-03-23,34259
2020-03-24,35002
2020-03-25,34684
2020-03-26,33583
2020-03-27,40158
2020-03-28,39647
2020-03-29,41443
2020-03-30,34515
2020-03-31,35445
2020-04-01,36477
2020-04-02,36068
2020-04-03,42126
2020-04-04,40851
2020-04-05,43034
2020-04-06,35279
2020-04-07,35759
2020-04-08,35731
2020-04-09,36849
2020-04-10,42717
2020-04-11,43488
2020-04-12,44279
2020-04-13,36945
2020-04-14,36689
2020-04-15,38447
2020-04-16,38431
2020-04-17,43314
2020-04-18,43109
2020-04-19,46566
2020-04-20,36957
2020-04-21,37917
2020-04-22,36641
2020-04-23,36320
2020-04-24,43734
2020-04-25,44371
2020-04-26,42973
2020-04-27,37668
2020-04-28,38669
2020-04-29,39402
2020-04-30,38687
2020-05-01,45840
2020-05-02,45973
2020-05-03,43029
2020-05-04,39528
2020-05-05,39278
2020-05-06,39749
2020-05-07,40187
2020-05-08,46212
2020-05-09,46160
2020-05-10,46265
2020-05-11,39641
2020-05-12,39340
2020-05-13,39840
2020-05-14,40830
2020-05-15,49423
2020-05-16,47769
2020-05-17,46818
2020-05-18,40977
2020-05-19,40906
2020-05-20,39863
2020-05-21,40715
2020-05-22,49964
2020-05-23,46513
2020-05-24,49096
2020-05-25,41350
2020-05-26,41650
2020-05-27,40905
2020-05-28,41326
2020-05-29,47643
2020-05-30,49272
2020-05-31,49580
2020-06-01,41266
