event_date,n_event
2020-02-01,23630
2020-02-02,23338
2020-02-03,20363
2020-02-04,21870
2020-02-05,20929
2020-02-06,21636
2020-02-07,24125
2020-02-08,24903
2020-02-09,24927
2020-02-10,22396
2020-02-11,22445
2020-02-12,21744
2020-02-13,21619
2020-02-14,25884
2020-02-15,24611
2020-02-16,25257
2020-02-17,21969
2020-02-18,21742
2020-02-19,22004
2020-02-20,22220
2020-02-21,25717
2020-02-22,26022
2020-02-23,26095
2020-02-24,22450
2020-02-25,22503
2020-02-26,22735
2020-02-27,22593
2020-02-28,25862
2020-02-29,26957
2020-03-01,26423
2020-03-02,22184
2020-03-03,23515
2020-03-04,22766
2020-03-05,24068
2020-03-06,26952
2020-03-07,27314
2020-03-08,25925
2020-03-09,23223
2020-03-10,23313
2020-03-11,22413
2020-03-12,22418
2020-03-13,26930
2020-03-14,26660
2020-03-15,27445
2020-03-16,23576
2020-03-17,23150
2020-03-18,23577
2020-03-19,24016
2020-03-20,27950
2020-03-21,26996
2020-03-22,27134
2020-03-23,23337
2020-03-24,24193
2020-03-25,23896
2020-03-26,22872
2020-03-27,26991
2020-03-28,27017
2020-03-29,28074
2020-03-30,23989
2020-03-31,24399
2020-04-01,24815
2020-04-02,24610
2020-04-03,28471
2020-04-04,27354
2020-04-05,28953
2020-04-06,24072
2020-04-07,24576
2020-04-08,24811
2020-04-09,25088
2020-04-10,28502
2020-04-11,29546
2020-04-12,30032
2020-04-13,24916
2020-04-14,25021
2020-04-15,26524
2020-04-16,26227
2020-04-17,29010
2020-04-18,28602
2020-04-19,30981
2020-04-20,25093
2020-04-21,25383
2020-04-22,24882
2020-04-23,24881
2020-04-24,29393
2020-04-25,29702
2020-04-26,28751
2020-04-27,25556
2020-04-28,26312
2020-04-29,26548
2020-04-30,26300
2020-05-01,31099
2020-05-02,30830
2020-05-03,29190
2020-05-04,27368
2020-05-05,26784
2020-05-06,27364
2020-05-07,27292
2020-05-08,31040
2020-05-09,31250
2020-05-10,31152
2020-05-11,27334
2020-05-12,27170
2020-05-13,27668
2020-05-14,27925
2020-05-15,33002
2020-05-16,32219
2020-05-17,31830
2020-05-18,27525
2020-05-19,28395
2020-05-20,27260
2020-05-21,28133
2020-05-22,33759
2020-05-23,31200
2020-05-24,32729
2020-05-25,28065
2020-05-26,28543
2020-05-27,27762
2020-05-28,28133
2020-05-29,32241
2020-05-30,33053
2020-05-31,33091
2020-06-01,28406
