event_date,n_event
2020-02-01,2311
2020-02-02,2282
2020-02-03,2168
2020-02-04,2301
2020-02-05,2203
2020-02-06,2256
2020-02-07,2400
2020-02-08,2403
2020-02-09,2359
2020-02-10,2389
2020-02-11,2386
2020-02-12,2343
2020-02-13,2228
2020-02-14,2290
2020-02-15,2369
2020-02-16,2396
2020-02-17,2365
2020-02-18,2352
2020-02-19,2397
2020-02-20,2342
2020-02-21,2497
2020-02-22,2397
2020-02-23,2437
2020-02-24,2450
2020-02-25,2378
2020-02-26,2384
2020-02-27,2398
2020-02-28,2503
2020-02-29,2420
2020-03-01,2524
2020-03-02,2441
2020-03-03,2442
2020-03-04,2462
2020-03-05,2407
2020-03-06,2426
2020-03-07,2553
2020-03-08,2499
2020-03-09,2475
2020-03-10,2400
2020-03-11,2417
2020-03-12,2553
2020-03-13,2585
2020-03-14,2551
2020-03-15,2544
2020-03-16,2428
2020-03-17,2543
2020-03-18,2554
2020-03-19,2549
2020-03-20,2547
2020-03-21,2665
2020-03-22,2529
2020-03-23,2662
2020-03-24,2601
2020-03-25,2558
2020-03-26,2585
2020-03-27,2570
2020-03-28,2540
2020-03-29,2623
2020-03-30,2529
2020-03-31,2559
2020-04-01,2641
2020-04-02,2681
2020-04-03,2608
2020-04-04,2677
2020-04-05,2709
2020-04-06,2628
2020-04-07,2625
2020-04-08,2669
2020-04-09,2702
2020-04-10,2762
2020-04-11,2718
2020-04-12,2722
2020-04-13,2686
2020-04-14,2647
2020-04-15,2775
2020-04-16,2755
2020-04-17,2802
2020-04-18,2759
2020-04-19,2944
2020-04-20,2755
2020-04-21,2739
2020-04-22,2777
2020-04-23,2880
2020-04-24,2885
2020-04-25,2889
2020-04-26,2838
2020-04-27,2853
2020-04-28,2732
2020-04-29,2954
2020-04-30,2831
2020-05-01,2966
2020-05-02,2966
2020-05-03,2897
2020-05-04,2932
2020-05-05,2928
2020-05-06,2857
2020-05-07,2878
2020-05-08,2917
2020-05-09,3020
2020-05-10,2903
2020-05-11,2886
2020-05-12,2897
2020-05-13,2901
2020-05-14,2961
2020-05-15,2969
2020-05-16,3053
2020-05-17,2934
2020-05-18,2985
2020-05-19,3003
2020-05-20,2870
2020-05-21,3015
2020-05-22,3107
2020-05-23,3005
2020-05-24,3087
2020-05-25,3061
2020-05-26,3032
2020-05-27,3005
2020-05-28,3143
2020-05-29,3171
2020-05-30,3189
2020-05-31,3164
2020-06-01,3095
