event_date,n_event
2020-02-01,14297
2020-02-02,14574
2020-02-03,12811
2020-02-04,13849
2020-02-05,13013
2020-02-06,13501
2020-02-07,14458
2020-02-08,15036
2020-02-09,15015
2020-02-10,13907
2020-02-11,13928
2020-02-12,13727
2020-02-13,13579
2020-02-14,15838
2020-02-15,15065
2020-02-16,15728
2020-02-17,14197
2020-02-18,13789
2020-02-19,14026
2020-02-20,14086
2020-02-21,15785
2020-02-22,15516
2020-02-23,15914
2020-02-24,14265
2020-02-25,14262
2020-02-26,14295
2020-02-27,14193
2020-02-28,16000
2020-02-29,16414
2020-03-01,16002
2020-03-02,14014
2020-03-03,14525
2020-03-04,14571
2020-03-05,15159
2020-03-06,16496
2020-03-07,16472
2020-03-08,16071
2020-03-09,14602
2020-03-10,14573
2020-03-11,14198
2020-03-12,14223
2020-03-13,16739
2020-03-14,16522
2020-03-15,16547
2020-03-16,14822
2020-03-17,14894
2020-03-18,14877
2020-03-19,15024
2020-03-20,16928
2020-03-21,16607
2020-03-22,16870
2020-03-23,15112
2020-03-24,15353
2020-03-25,15018
2020-03-26,14449
2020-03-27,16363
2020-03-28,16701
2020-03-29,17201
2020-03-30,15053
2020-03-31,15233
2020-04-01,15623
2020-04-02,15612
2020-04-03,17249
2020-04-04,16890
2020-04-05,17841
2020-04-06,15283
2020-04-07,15435
2020-04-08,15234
2020-04-09,15820
2020-04-10,17625
2020-04-11,17665
2020-04-12,18109
2020-04-13,15965
2020-04-14,15663
2020-04-15,16523
2020-04-16,16212
2020-04-17,17830
2020-04-18,17749
2020-04-19,18873
2020-04-20,15877
2020-04-21,15997
2020-04-22,15713
2020-04-23,15386
2020-04-24,17749
2020-04-25,18068
2020-04-26,17516
2020-04-27,16126
2020-04-28,16434
2020-04-29,16413
2020-04-30,16408
2020-05-01,18441
2020-05-02,19009
2020-05-03,17807
2020-05-04,17188
2020-05-05,16744
2020-05-06,16747
2020-05-07,17059
2020-05-08,18693
2020-05-09,18627
2020-05-10,18573
2020-05-11,16839
2020-05-12,16917
2020-05-13,16805
2020-05-14,17255
2020-05-15,19872
2020-05-16,19279
2020-05-17,19165
2020-05-18,17166
2020-05-19,17688
2020-05-20,16638
2020-05-21,17291
2020-05-22,20127
2020-05-23,19088
2020-05-24,19880
2020-05-25,17282
2020-05-26,17585
2020-05-27,17500
2020-05-28,17662
2020-05-29,19522
2020-05-30,19845
2020-05-31,20341
2020-06-01,17227
