event_date,n_event
2020-02-01,8569
2020-02-02,8556
2020-02-03,7714
2020-02-04,8310
2020-02-05,7847
2020-02-06,8234
2020-02-07,8692
2020-02-08,8881
2020-02-09,8810
2020-02-10,8265
2020-02-11,8266
2020-02-12,8143
2020-02-13,8209
2020-02-14,9403
2020-02-15,8977
2020-02-16,9028
2020-02-17,8306
2020-02-18,8147
2020-02-19,8349
2020-02-20,8168
2020-02-21,9420
2020-02-22,9259
2020-02-23,9361
2020-02-24,8344
2020-02-25,8414
2020-02-26,8542
2020-02-27,8479
2020-02-28,9329
2020-02-29,9585
2020-03-01,9405
2020-03-02,8394
2020-03-03,8755
2020-03-04,8716
2020-03-05,8784
2020-03-06,9897
2020-03-07,9587
2020-03-08,9323
2020-03-09,8753
2020-03-10,8800
2020-03-11,8553
2020-03-12,8534
2020-03-13,9706
2020-03-14,9750
2020-03-15,9717
2020-03-16,8888
2020-03-17,8776
2020-03-18,8736
2020-03-19,9187
2020-03-20,9862
2020-03-21,9670
2020-03-22,9805
2020-03-23,8879
2020-03-24,9019
2020-03-25,9017
2020-03-26,8622
2020-03-27,9722
2020-03-28,9987
2020-03-29,10289
2020-03-30,9065
2020-03-31,9204
2020-04-01,9311
2020-04-02,9272
2020-04-03,10293
2020-04-04,9974
2020-04-05,10330
2020-04-06,9238
2020-04-07,9388
2020-04-08,9280
2020-04-09,9400
2020-04-10,10320
2020-04-11,10486
2020-04-12,10680
2020-04-13,9431
2020-04-14,9246
2020-04-15,9751
2020-04-16,9753
2020-04-17,10596
2020-04-18,10395
2020-04-19,11101
2020-04-20,9535
2020-04-21,9578
2020-04-22,9452
2020-04-23,9452
2020-04-24,10622
2020-04-25,10787
2020-04-26,10473
2020-04-27,9838
2020-04-28,9736
2020-04-29,9991
2020-04-30,9937
2020-05-01,10898
2020-05-02,11231
2020-05-03,10526
2020-05-04,10261
2020-05-05,10032
2020-05-06,10223
2020-05-07,10358
2020-05-08,11238
2020-05-09,11259
2020-05-10,11242
2020-05-11,10298
2020-05-12,10286
2020-05-13,10231
2020-05-14,10342
2020-05-15,12070
2020-05-16,11546
2020-05-17,11505
2020-05-18,10480
2020-05-19,10674
2020-05-20,10547
2020-05-21,10368
2020-05-22,12124
2020-05-23,11347
2020-05-24,11765
2020-05-25,10392
2020-05-26,10809
2020-05-27,10756
2020-05-28,10570
2020-05-29,11697
2020-05-30,11627
2020-05-31,11839
2020-06-01,10720
