event_date,n_event
2020-02-01,96
2020-02-02,112
2020-02-03,118
2020-02-04,125
2020-02-05,106
2020-02-06,112
2020-02-07,108
2020-02-08,112
2020-02-09,105
2020-02-10,115
2020-02-11,122
2020-02-12,104
2020-02-13,118
2020-02-14,92
2020-02-15,124
2020-02-16,119
2020-02-17,120
2020-02-18,120
2020-02-19,96
2020-02-20,108
2020-02-21,106
2020-02-22,115
2020-02-23,108
2020-02-24,135
2020-02-25,121
2020-02-26,115
2020-02-27,120
2020-02-28,116
2020-02-29,115
2020-03-01,110
2020-03-02,117
2020-03-03,124
2020-03-04,112
2020-03-05,119
2020-03-06,120
2020-03-07,114
2020-03-08,105
2020-03-09,109
2020-03-10,117
2020-03-11,121
2020-03-12,125
2020-03-13,131
2020-03-14,136
2020-03-15,130
2020-03-16,103
2020-03-17,114
2020-03-18,133
2020-03-19,118
2020-03-20,101
2020-03-21,95
2020-03-22,115
2020-03-23,107
2020-03-24,119
2020-03-25,131
2020-03-26,105
2020-03-27,120
2020-03-28,115
2020-03-29,121
2020-03-30,114
2020-03-31,115
2020-04-01,120
2020-04-02,123
2020-04-03,114
2020-04-04,125
2020-04-05,127
2020-04-06,126
2020-04-07,113
2020-04-08,123
2020-04-09,122
2020-04-10,136
2020-04-11,136
2020-04-12,146
2020-04-13,142
2020-04-14,99
2020-04-15,117
2020-04-16,137
2020-04-17,128
2020-04-18,120
2020-04-19,132
2020-04-20,108
2020-04-21,114
2020-04-22,135
2020-04-23,124
2020-04-24,122
2020-04-25,134
2020-04-26,133
2020-04-27,115
2020-04-28,138
2020-04-29,136
2020-04-30,140
2020-05-01,145
2020-05-02,120
2020-05-03,138
2020-05-04,135
2020-05-05,130
2020-05-06,136
2020-05-07,124
2020-05-08,140
2020-05-09,133
2020-05-10,132
2020-05-11,148
2020-05-12,104
2020-05-13,141
2020-05-14,133
2020-05-15,136
2020-05-16,134
2020-05-17,132
2020-05-18,146
2020-05-19,149
2020-05-20,112
2020-05-21,145
2020-05-22,123
2020-05-23,137
2020-05-24,132
2020-05-25,132
2020-05-26,129
2020-05-27,147
2020-05-28,138
2020-05-29,124
2020-05-30,141
2020-05-31,139
2020-06-01,137
