calc_date,avg,n_calc,min,max
2020-02-02,10.631939605110336,8610,1.0,433.0
2020-02-09,12.777991452991452,9360,1.0,551.0
2020-02-16,14.387547518750642,9733,1.0,819.0
2020-02-23,15.21268321866587,10029,1.0,982.0
2020-03-01,15.475120227696536,10189,1.0,1008.0
2020-03-08,15.608918552911588,10338,1.0,1016.0
2020-03-15,15.711155952724129,10407,1.0,991.0
2020-03-22,15.815058062059775,10506,1.0,969.0
2020-03-29,15.826415094339623,10600,1.0,933.0
2020-04-05,15.792833876221499,10745,1.0,942.0
2020-04-12,15.847538574577516,10888,1.0,917.0
2020-04-19,15.801028695181374,11082,1.0,921.0
2020-04-26,15.938729874776387,11180,1.0,934.0
2020-05-03,15.886000351308624,11386,1.0,915.0
2020-05-10,15.936100302637268,11565,1.0,918.0
