calc_date,avg,n_calc,min,max
2020-02-02,5.116414744099708,7542,1.0,114.0
2020-02-09,5.93640325050053,8491,1.0,119.0
2020-02-16,6.534909534909535,9009,1.0,104.0
2020-02-23,6.9227694966515445,9258,1.0,117.0
2020-03-01,6.996929917425366,9446,1.0,123.0
2020-03-08,7.064841045011017,9531,1.0,116.0
2020-03-15,7.105886016817191,9633,1.0,130.0
2020-03-22,7.123757811699621,9761,1.0,119.0
2020-03-29,7.160531386269141,9861,1.0,115.0
2020-04-05,7.173038430744596,9992,1.0,122.0
2020-04-12,7.181388943537281,10166,1.0,112.0
2020-04-19,7.203838325094504,10317,1.0,112.0
2020-04-26,7.288791040490093,10447,1.0,117.0
2020-05-03,7.3402372434569765,10622,1.0,130.0
2020-05-10,7.348476454293629,10830,1.0,127.0
