calc_date,avg,n_calc,min,max
2020-02-02,56.63403287501292,9673,1.0,3303.0
2020-02-09,71.17651146629603,10073,1.0,4082.0
2020-02-16,81.56027888060424,10327,1.0,4071.0
2020-02-23,86.58977508977509,10582,1.0,4039.0
2020-03-01,88.53621571362157,10755,1.0,4087.0
2020-03-08,89.85256173977147,10852,1.0,4056.0
2020-03-15,90.12193784277879,10940,1.0,4078.0
2020-03-22,90.8239334779465,11064,1.0,4169.0
2020-03-29,91.09589532174225,11158,1.0,4217.0
2020-04-05,91.2756058729878,11306,1.0,4109.0
2020-04-12,92.10803034266283,11469,1.0,4157.0
2020-04-19,92.74211295452592,11633,1.0,4205.0
2020-04-26,93.6282029526557,11786,1.0,4325.0
2020-05-03,94.08231656359686,11966,1.0,4322.0
2020-05-10,94.4638886601334,12143,1.0,4819.0
