calc_date,avg,n_calc,min,max
2020-02-02,17.032485177865613,8096,1.0,1028.0
2020-02-09,20.63627084042191,8817,1.0,1465.0
2020-02-16,23.102334125783447,9254,1.0,1769.0
2020-02-23,24.52375935096407,9491,1.0,1768.0
2020-03-01,24.892905091397296,9683,1.0,1803.0
2020-03-08,25.178045789043335,9784,1.0,1778.0
2020-03-15,25.354183590576767,9848,1.0,1711.0
2020-03-22,25.397398699349676,9995,1.0,1779.0
2020-03-29,25.3823500345884,10119,1.0,1756.0
2020-04-05,25.423110677718185,10255,1.0,1739.0
2020-04-12,25.49769717904433,10422,1.0,1762.0
2020-04-19,25.59343983363267,10579,1.0,1732.0
2020-04-26,25.726832448542424,10737,1.0,1727.0
2020-05-03,25.690443529949704,10935,1.0,1736.0
2020-05-10,25.776777677767775,11110,1.0,1731.0
