calc_date,avg,n_calc,min,max
2020-02-02,1.1322815533980584,1648,1.0,4.0
2020-02-09,1.1499299392807099,2141,1.0,4.0
2020-02-16,1.1578093306288033,2465,1.0,6.0
2020-02-23,1.162702906757267,2649,1.0,4.0
2020-03-01,1.159330665696617,2749,1.0,4.0
2020-03-08,1.1605206073752712,2766,1.0,5.0
2020-03-15,1.1585279547062985,2826,1.0,5.0
2020-03-22,1.151069050122678,2853,1.0,4.0
2020-03-29,1.1532485875706215,2832,1.0,4.0
2020-04-05,1.1511750263065592,2851,1.0,4.0
2020-04-12,1.1591623036649215,2865,1.0,4.0
2020-04-19,1.1501683501683502,2970,1.0,4.0
2020-04-26,1.1557404326123129,3005,1.0,4.0
2020-05-03,1.1591942820012995,3078,1.0,4.0
2020-05-10,1.1609490221224752,3119,1.0,4.0
